Serial Number,Project Name,Promoter Name,Last Modified Date,View URL
437,South Ridge,Anchor Daewoo Industries Ltd.,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=0tA9xTqfTw13pMQ6uIZWlClFit9wTqxdNKyw3m5p%2b7z9ZwRSUnSojtwfwophXcKe4%2fNbiW0IvrMazwV5zieZdxniHeB3DdA09SR%2bsnnQF%2budwTL3QzVOd8qBkzzrFR1vYI%2fj0Q9UnsIMlCOFIVweP4V3nYps6C3CJi73%2fVVzH07DOG0%2fUSU%2bKg%3d%3d
438,HBS Marineview,HBS Seaview Pvt Ltd,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=cMky6j2QCxK%2f2n7W92%2bbbJdouYju3YuXwMfeBAcybzG10kIVUWaaRxZbd5SWuUMri5FTYoKz5JfpLq%2buBVwTxs6k%2bNdrUdZHlDcgA54D5upLtL9Glou6REvra%2fTfZNI%2fORnrSF0S045hh0ge1dChyTit5PyTHVpU8FBcy65cG1La0CkYfxcxBw%3d%3d
439,PALACINO,RISHABH DEVELOPERS,13/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=caZ6I7GPdUeRr2DbGWdl9fLyJ0sPN%2fdhQAdOd09Jg7hv%2fJOM1axWN6Z3Ln%2bHI6HXmOdWvjLzmzSheJoUtp8UYDQps2eglNjbX5t%2bvOLVA5hNA2GmBybPzAW2X2Gyr%2f3E17NdbNsuwUI3D361M0GUNR3Z5b30DfZecbdVmaD8FrDhCXl%2b7b6Epw%3d%3d
440,FORTUNE RISE,NINA REALTORS PRIVATE LIMITED,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=nmQe8D5rfmH1SciHW9IELqexTsiuQ1golWlAGm%2fm8Hee6r4OkEnaKMPCXU6jPbx28IGgQwKJbnn72sozGNpH05IjyJTbdeeZVuXACHav1s%2fTF%2fkznWq2SUiGkG6WHKF97v2P3ZrZdhgfv9KNVXTEWez1YBH0mQGCpPahzMuNmi0uEN%2b7ZIW%2fCQ%3d%3d
441,Proposed Redevelopment of Vaid Mahal,Lulu Enterprise,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=lMuE4EcvjxHBFvln6GOdI7ssJALJK3hIrtbE61BuCNT39Xq8ZkaUurdo1rI7q%2fyeW8Q9KPwZNfWEtkPfsdA1vjJgPEP%2bA4bIB2o810PzNVQ%2fDshaKJr%2f36IDHsShJ22xIDND20IeXpgeOOIseL6o8wGF5sjHRj7tcRLGxK8I0UMiER%2f24spAUQ%3d%3d
442,TARABAUG,DARSHAN DEVELOPERS,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=WwBqhh6QEFZvAx6XAsPj4hV%2b3VeS1JFLcrsZ%2bHfdtVdTpovtIsaSUI9VDS0TzphsTfSR1VJi4JSnXTJWIEch%2fOHHNBqxTyq1IRyKHM5H2rny%2bLh%2fd0kNhvkoMHtJGRobJMqQB5g2MD0cPGXtG3Vp%2f519gNThVIWrpm62Wx5SBAKrYwuHSN8kvA%3d%3d
443,IBRAHIM RESIDENCY,Y H ASSOICATES,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=4OYEMQBjtmhR9K56FV8FncTtS9%2fiFcr4d8otDPwk9uQXdYZ%2fj4YEdHWNXLYvznsA56gsfYSHeCZto8WaATAj%2fcpkxkDsk%2bXshIUnFofGxMGF0weZSOvpjoW8CUtR7Mrvltdcy6EPFJUweIs9DFuihrwUB%2b4tT1AQlMs%2fuemIK%2bDF3w%2fjVsqoFA%3d%3d
444,M/s Devidayal Metal Industies,PD Warehousing,18/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=MOKxBtq7CIlQ2H0%2bQsgECZQkovYE%2beI2P2%2baffDZ8kHZfe7xDlmJvY%2b2iQ5FDkhVM1QVrkeqF2DfoYgumiNz19mcc5Dm3eUvj%2f9qzmBdIqC1qStOmFi2LJldf4wK39YM%2fVXamJNXBx%2bl5aQX7UG2D8d0FRVIJasIADJh1K1AkJlfeEXTRvbdOQ%3d%3d
445,Tejaswini Heights,Tejaswini Homes Pvt.Ltd,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=XSHmO4gmlwTQTGSeJDM69JO4sCpYpzBO4cdkytJG3wgVGsmnCURcT9z9Z4FzkeVxtGd6a2S4zJyzlt4YEwTaU2D4OfT8kptT8mqAnwIDkqWqM714K2P7RQHOBgnguluNjIXUuZxumerVrwiF%2b%2fp5fFrChopcOLWN4hHDDA3iuAxUh8cHcfpVeA%3d%3d
446,Grove Towers,Ornate Spaces Private Limited,26/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=AUm9SEnSJaWFP8JLKFW2Zbx5eS4yZAHUa0ttftaRhG7OJcoKL0%2flXNGSHnD6gBBx%2bvegUtjr1w%2fM0HuAWIymZ8rrFGJuV5WqrytvuIzRd9jH8lNqFwgz415XjXUQMoSajgAnrP52xVcsJUdXzIw59owjeeKZPIMlp22DoSS3dhTlHTpISVYfWQ%3d%3d
447,VIVA RAM NIWAS C.H.S.,VIVA ENTERPRISES LIMITED,29/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=mjOi2xpwuUq%2b9l24lP3dkp30sVtPpwGv1qTHZDj%2bPbwguhju4BpBqHvvvoy0dfDbZygos9qkRo71n3TJUDczPCpCIqZNLpLmqvyEkd9cSDksQuDqjcnQLNV1pTeHpGEF0m7vZK1d74VyYHno00I2bE4yvuygW8FXb1ot6TO3LsY7qJX36JbMPw%3d%3d
448,SHANTA NIVAS,SUNRISE DEVELOPERS,11/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=kaCzkWQ7C4eJoJdKyWMFzkJzpzsN8amhKaw3oG9%2fkE%2ftUjtk6dPo3xCiqI8CmzEZZ%2fvN%2f9Zb4ZlFi6CtzrZoelmkepISt4smmMbUpQ9l%2fxGz35aoUuCAUdZUZX6xHEVwa9KAQTz83CT8aG5kgzpn%2bYFFdgmjaMKIptKGxtThbUnCIr9rX2Aj6g%3d%3d
449,The Autograph,Ozone Homes Pvt Ltd,15/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=KpobrSnMhIFOdzlY2gRJcHg60b6FejZJxpateoVCtU01gVjVez9E85zC11FIytHA7V75tq%2bEwz3LFbfiN3U3iNwN3%2f4WTEBM8Uy5ZPzysbn01xjr%2f%2fReSF6qlaQaRWiikTOInn6WCM95VRO7%2bsbBO%2b1kFlRIHyLirbRO12Cfubob5Im4BBskBQ%3d%3d
450,Matoshree Pride Building 1,Matoshree Properties,22/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=o0uVyGeMnWLABFawlOHop%2bVI%2f1g3Y2Dv33SITuzHwoYhFNJrQAyzJE%2bPfBsusrYzGPHdeoB9zyi0k4Qh33Xo4p8Rq8mrYelKOfa57JMyjEfTsvwlVysT7KIjWYhu0qEnctwrOv2xIhgql5BW4JxOBEvHOcNjBs%2bAtEvB37iElAWbuoH5MbtmWg%3d%3d
451,Neumec Aura,SHREE MARUTI DEVELOPERS,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=dTa5jJ9%2fPR8iov4IPiCJhQLKSvv%2bx0Krbp8O%2bFvyShoYu0m7SvBgrcPtz7r4rLWWmVQC%2fmXEVkYSfLAWUFX%2fJQ512LzILenxVRZ%2fG7bjQJoEm%2bOeoJljavOHUKlnpFWacpJq%2bhx9RKmgSpRILrkYfwrVUPfvhL3jtOqbhrKuEHuMru2cs2RtGA%3d%3d
452,Amarsons Entallia,D T CORPORATION,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=tBYoVCH4uKcboaeQmp4ZSUONVMfKAwNQOq4BgVTMO6Ry5x60cPLMDXxQgsvjZ%2b66%2fcbw5%2bGkXY%2fLSpZOyPE7cIhTp7TZRemVPzf1xQwO1x0FUCjcRsmsCI1mA3ThU5nJF6y0tSzBpUS9liL9pfIVpH9OWYAnfRlywGhroaqwAKYI%2f%2f8Lk6TqPQ%3d%3d
453,Matoshree Pride Building 2,Matoshree Properties,22/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=8j7S4RtXPUzMiuwflmp1qWmnfWRAMw9Ou75UQKsdriQss7H%2fU6wOEWolylw4IjSeepzndc73Zod2mnYL9NJSWJnP9k7iySKYlcJ6cOHG%2fwGchaZQdWfvCHwcG1LEUmOB2IsTPKQe98U3AcA25Sui6JAlzvhHcYJ3S91E3vE6vXr9WGccynSoJg%3d%3d
454,KANAK HEIGHT,SHANTILAL MISHRIMAL CHANDAN,20/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=g4DJhe07vWH197NLhlmOdMpI%2bL3Wzo6GKDn2AtlTWhyhavVbowmfkqWPXprGm0IDoEx8jzwJPpx0tvZ04QqjBDxZc%2fZZfTSAlRCmjq9Q8ijaj38B4T0KAdUW89N4PAyZQyiqIKxsTwicRaOU5wRzT7XXQkT46p97pmcSbCfJQzT9%2bWr2RhBIrg%3d%3d
455,K RAS RESIDENCY,K RAS GROUP,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=kPRsNIBDZjfdU%2fx2GEDEvp5d45Iq1nWJiWS3Xfv9029Ku6DElCAEDtRxCyOyp7aHjIkysiiso4SXUdCzKp0k3KTriTa09mlTAoLkGT5hzKFojzoQAG0YCbIaN4dkchAUeTw7bNwb3RCNE3gsF2vmfRgJJVLLcFVMsWNeAU5M8p53DS7XN1hU2A%3d%3d
456,INSIGNIA,Ashwatha Developers,21/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=CEghs5FvoYoy%2f27IBl6W%2brSXgDfK0iPRbEGU2dcRY8ZmSe4MOr1wRUQeGvR9F0UrD%2fY6EF7XLXIMtbCkuyBBtibPHa0Y4aOn9RG3dUJ19X%2bkVjyVOKhi94rxUYzG5D948zpL9GVgkzykeDup%2b0B54F8nKSNOdQ626mwfscCInCh0w6%2fDU8P3DQ%3d%3d
457,Ikebana,M/s. Tejukaya Realty,24/12/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=uVWM%2fWZocT9v1dwvoDNoT3IGtM1nOzLDwBcerRcrlAXl1t3TeASAMZlH7fjy880gczulbQ5ThVfnZKxhop3PJcsNxU57pn940jZG2dB0Wkyijq2llfuwvDGu%2f1bSoBd%2f82DCkcuqQ5b8RfSoA4R7aFyFtgNCs7UzxZOmjx%2btA3Nm6FKL1PFwnw%3d%3d
458,DB Turf View,TURF ESTATE JV,21/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=lIGUBg7IJCtBbSv3R4BkFtYiLbqM4%2fS9zwu5%2bp%2fV2c62vr9fbtIu2j5lHrwzarmKuVinWDnzo4lJ1bQEtDYR75zRR91MBWaMF35PAMkRsd2gX1DU3itO5523NZHS3uwzrpYizRN%2bG43zYYNrCIe%2f4otZ3LxEr9D%2bjspXksfsE2QWtvXovBwniw%3d%3d
459,ASHATHLAXMI CO-OPERATIVE HOUSING SOCIETY LIMITED,AVS Realtors,18/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=6WouYwyV5Q5B5LdQ7xOF8kJJvzI4pacfZtPStLOkESHg2i7XDUmNw9nxM7LN%2bESgN%2fvwsONpHO1PPNndvAQLOa8BTvKNaNedsEwCqFwcdLkqlkRB1xQF0zU45giNMyXjKPG77lyTSlUr1wBSbnGGbIovBzeOJLpcpZOoZn7E%2bxRll8ebYw0pbw%3d%3d
460,SHREE KRISHNA NIWAS,JANAK S DOSHI,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=1N9RL%2fH%2bpCx8ePtGlGgo3nMhsGIIbklJ7v3QL5BCeJpNzVpqq32MK17NGDEqqmOWQqbZ3xt5%2f5gPaRdlSfq7A7yJh%2fuKKKV5qwUtVXXQ7F6wJIV%2fl3kQ0rGKpLobAIPE7%2fhy6K%2b30UvkJ5Rtx4QxNbneYWwe8kf58NtR9nTZ4qTFj5eCLF7AyA%3d%3d
461,OCEAN STAR I,SURAJ ESTATE DEVELOPERS PVT LTD,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=6K6EH7DQKNGy3UNLTcPk%2fvEQEvhaez4eR691XCSNWOVvKZmL3T4jzBu5MttEDWLImIZ4RWgmir11UymEnthbdabQ9I3WAr1%2fQepfyJeg0l5jRICo%2fgVPrvgU10u7X6f9HoI8HuXtHRFXrqKa3TMAjaqbseIlCw59HBvqhd0z05%2fZHpGBcN%2bFjA%3d%3d
462,AURUM Heights,Komal Developers,13/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=3xKmAwW5VvXo%2bI8NwzdCadlV0EK3Km2GuMkeufXPY7WcK6J6nuje%2fyX%2bN754SzMiy8ynQyp8Qi8lVLd8a64Zq7mFfoyLL8NS0baXHRVd0akIwkPdb%2b9NnVoIJpzwYAw8K8%2btss03DeZ0Azi8rtxADkLN0U7xJ%2bb3iL532YiERpptgw%2fWJgRKyQ%3d%3d
463,Shree Laxmi Residency,KSHITIJA INFRASTRUCTURE PVT LTD,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=RPz3J3ZOOhSGwTjqp3LTaQcshQOHKl1a8YZuvFTJPh7XGekCJXvLGPCCeJW5zfG7phClJULUxlYc0AHnVbupJO%2bZFlr8uR8CFiwffcKtm7tt9ExrcuNdOCUg8ACr6AJBLXvlnv6QHwP%2fW1dC9iXYhalMg6d51CULz%2fqLRbS5ZUJbsgLvWM9%2bQQ%3d%3d
464,NEHA GALAXY,SHISHIR MANGEH SHIVAPURKAR,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=SzQjH6Qb1Rznb7I2ge%2bgF0k0oCoHeINParVUHQ3LL7M8UhL9PCR1i8DRqOizn70KWEUhr5ns04xhPPDK%2fohMLXB1fVnVEGOOEN1U6GS64wG4vyPwugBgdSJSDkuF55NLMqNenSzlPfV2rI1sz5bLR909Od49ImBhGx11EC9jfVMi6Yoo5eHVcQ%3d%3d
465,AL MEHDI HEIGHTS,AL HAADI DEVELOPERS,09/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=riQCjIp8hMQPFmJ82iFuxX9YwabRXb1Ch%2feaiFBdZS6kBXqkYz3dKZAAUcT3R0ZwsU%2fkeGOc72riiB3EkHXIoqwp6HBH8zj0VCOr6EYjNhfYmXtp63sqE4jaIhj3nuWm4l1FJeD1qCJn6hmzQASiw9GFBWgTgsYf2V7grALOZSYgsVddk9tfDA%3d%3d
466,SHREE VARDHMAN,DEEKAY REALTORS LLP,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Gg4JZOu%2f7q%2bVsKDramqrOVTU16T%2f2V%2bU5oQzh96kVedciNEX4X%2bLfaqjbd2B5bx%2fEbWzS%2fikYfsjOfLMKBIBJCoFl8jCXdY7tzfU5VgxcOOEiZ6MbdjwiVAW1bwkviudmwDOJGXIRBw420RF%2fWgmdm8Gs4Bc8kOrw73nJI1mWEMkHHnCBL%2fsCQ%3d%3d
467,OCEAN STAR II,SURAJ ESTATE DEVELOPERS PVT LTD,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=8yw1qR6jRMxUrcKQn2pUOMqk%2fUqoKCMyV6Z88iUxV7UCzh%2ffPIc8gYhXKVcn6uf0LqGK%2b7hHEgylch1dSphk6Sl0TG%2boOLJ7vkd1v%2ftuyEIgYTY%2bN4cVyPQ7eVvk7y%2fP%2bR9zNw%2fGk7sagsisVoOcGjHcasb1yU1mTXPNX8ZknEsbtPmAtLcJTA%3d%3d
468,ANAND SMRUTI,JAGDISH JIVANDAS HUF,20/06/2018,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ADsewkkVUYFgjA29WrN8C6tSS%2fPPOcDt9mlnsO4SR%2biyUbyiBDF%2bhWAbHZXnCTWt%2fXov21wRcvn%2b2MwHi%2bs5XLA%2bKykpRmBA3%2bJsLQ6DQjyFnslyubl1%2by7D4kblAF11EFT31zs2OiRRRm4HIuMtSjfv8stRtly5UNJrPeWVVSQwRfxvh2gVmg%3d%3d
469,SAUDA HEIGHTS,M.K. INDIA ENTERPRISES,20/03/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=nlz9oPj8JcaG8hqnr7UHUx4Ma5tr31IiXJyuGCJh5ijTHprN%2bYPWqvz62Kbu0CuHYxih%2f0Za9Tgrgh%2fPRtKPRHBsAlnO0N%2f9fYNyY%2fTNdTkfxajFAKNbNXqWTUsUipdDiKqfhZBFJWQr5757Ug%2b7cg243CH%2bisgxXqBQO6MdmVjlECXNI4pUpQ%3d%3d
470,LS Laxmi Sadan,M/s. DOTOM Ventures,13/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ROpdPKWI2JpU8UpScvnWWdyWhstcTfrjBeGwmpQeHBXU0RdxnP%2baeVNENO%2fOSK7QUvAOb5lY25hID%2fuXuBoi7THb4TzdNaNsvIQqkjG0wbRso8YNbSwLpF0IhVLxv%2bhy5%2f%2fyWU%2bOFhQPqYZ7uzGYWT497tvvIa8TJH1C2UVwg2GauYT6bpLFMA%3d%3d
471,GM REALTY,GM REALTY,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=5XwblDjnUoq%2f0ymFzUNAw5YeW3GXEQOOjWVA4Ijg0KJaOSinHOm%2fy4bRbFujoeSYgZcXMSlBSeQ0vWf098Id3RlGaFBJucPMnKjFSPVblfx7kCE6qu%2fgJM0rbpyJ5%2ffhVP2xNcofj0N4uL69bbP%2frMWBA5LYHAtRFDOv8Xt2DPQ%2f3ErZf7Zq5w%3d%3d
472,PLATINA,OM SHANTI CITY DEVELOPMENT CO,26/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=IGu%2fnpSj%2bWsa2TFC8wAahFpHLpCcyzvvX3sRGfg2RFr%2bp3QghRzb2X8JdYbLed5ZUf8ThJ0VJiVsav3Wdu5LpcZOIF7U%2bFlXuWOAu1LMBTb8pGHGJSkUEgTrjy8vFRypbsNlDy1ldmsD4Bwbxos8zckK8Q%2fMyvmNP%2b0Rf0xZoqsZC5KuexjAWQ%3d%3d
473,NEO ORNATE,NARESH  MEHTA,17/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Xu27bzpiQwesYHXlaONmGPMyICVCeN9zlPYY%2fbCQUSlkYNWce8%2fc6WPbMxpDujN1Q8YJ8WTKxsrq1buXGjAknFD7TT1m52Aq4dJA%2fLR0s6qSksNFFz9ep1IRIPQ4GK%2f4m6Oki%2f30XrIaXqoi0FjzMS87SKLXTY%2f81EXCp4ufG94f7iT2kSBlgg%3d%3d
474,THE RESIDENCE,RUNWAL DEVELOPERS PVT LTD,20/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=6mG%2fbbZeNh6v6dXtaYthAmCjOvY8e03EwJCSsvdRJPoefuVG3ZQaQ3X%2fubovXcwi3VUzpGI%2bQz1A6KzqTxefoHvdG1kVtAZ8O3QZO8YPdcRvlTol1LYBmu%2b9Enn4K%2f7CQHwkvIQYzicL5jD3Xb%2bomuYbEiljXuu%2f4DLWK46hC3UPr645uIXmQA%3d%3d
475,Anchor Sky D,Om Shanti Housing Development Company,14/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Yr6PL7b21sqVD3%2f3v%2b4bA%2fH7m%2bnI%2fzwat6zdd8I%2bm%2bEFN9Twuh3d4K470J99IuYYBnQJLTcyIfNupAHRda0GJrBk5BeA%2b0JzNpYdbl5ustSx%2fCsvneh9KVQkrPt3Z5IiYa07e6bxt43t4xjkbbL6yV3sD%2b6IRCHGbEZcViaT3YEBPIf1dsIPsQ%3d%3d
476,MONISHA ANNEX,AJS DEVELOPERS,13/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=qJc5ZrT5SasU1VvkeqZLGMIYFIlNs%2fqCm%2fQUgGJeLxgArzLmwdCnsS5a6a6qSx953bmNaTuog9CbuAH1pNuzfsHacFUJSvqk5tWycgq7pRrXLCvhfauWQISmr5rfoL37RmlQqpNdhkwk8zxrA2Md1wxCoCYtPk78dp%2bKANLjPNqWlqGY55nNKw%3d%3d
477,KENIWADI ANNAPURNA,Venus Housing Enterprise,16/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=bRkrqYthgJtUAeabt%2fx3mCfNw%2b4whIIPP3p7zdNhDozSnOyyd7lu0lT0k9ljF0JLbJNxabPYISUXGO6AkJR2KBsb83522cB5EW%2fhUjkal%2fu36Zz3uzaXyVJ8Zh5YdQNCJx8jVaoEGPxms2JFbMJJHkK4JZhhHQ2Hr2D2ocWUNk4NfqWMlm18Xg%3d%3d
478,SAPPHIRE,shri navkar developers,17/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=teeZuhyNDX4i2EvOyrknoJzPJb35tjJZe2dgU9FH4lFyD%2fVKVDmw2jtPKjV%2fBtgPb7Z9LAExIFbvZcfQCwqCtlGp4sAQ7ypPlpNJ0dP0wYgvZ8pyDW2VWingdHW48bpOBZ4W%2f6k2NwqBeomHU8xUMyAaNEq8RnzfNqqjAAbWKKCgVH8LHzACUw%3d%3d
479,lakadawala sapphire 19 to 22 floor,sadique anwar koradia,27/04/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=y3H1APonmoCpxpt9DaiOwDcYkQKvsOljti420AFMqnIoxDj2nQYZxDWZG1AotywEbjxDzgNYLz7vypP5bjeNxT%2bP8idKUNWpLaquAxN%2bXvWmmiLSAKXgA2mf6UthvQC7dQzFOxaKci%2feZ4tpRXUd5zDtNJaz60a1BX6PranjS0hzz1hav7JNyg%3d%3d
480,SUNRISE VENETIA,Sunrise Developers Proprietor Sunrise Housing Constructions Limited,27/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=%2b0pguHovc5mlQAmsUma4qhySqubP%2bCISkkmTSxnah2spP4sY6wrts%2fTy7WzW0UIPfLweGo3hIGQf6ar2PhOlIJCCssZaW1wePSGOOyvFOJkl83RuFLC0Zj3JtikNZqHStSg%2bQbLFuNeBZpPqszFV8jSOPG07fvoqjYOaWkedsQuzZAcHPw1AoQ%3d%3d
481,KRISHNA BHUVAN C.H.S.,SHAUNAK DILIP KIRKIRE,13/03/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=gYTxHseVKVgZXiO%2fxy4zudrajPhjc21SiyAkegE2N6UGN75y7eC8Pr5bc6fSaVlMV%2bKGoGFm%2fbGci9E7QL1fnaG99G8gUhW8sN0qUtkeuN5p9wwVb4wotx5dVCPKHw7faDh1GIX0NOF7v2IO1c9Z2ErVxcq2bTU9cE%2bjx3G9dziufUyAWOG4dA%3d%3d
482,CRESCENT TOWER,CRESCENT BUILDERS,05/03/2019,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=mahhAMknsS32c3k3QGXedBOkhGSLkeBTD3zPDRI2Cg%2bYa2Y8BAOAOmY1AAWkQNr%2bZ6d97dATG3pNMwMjZvL5eUVJAEEB1bhlin%2bJaJPRrn5k5rqXVNN2f3VKep7ZFp8M2zJ9cb%2baocPP80Ny1%2be7ymRVJ2ojR5mocK1wJpel0qTOIgowxCeLMA%3d%3d
483,F.W.TOWER,crystal construction corporation,14/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=aFG%2fAjkAkXfMSIkBI4qiXXS1QGhkyfeQpn4fbYN2cAgJQLPMImCkauRR9PHTl4CalPDHKBOkeOm%2fgvxYUwFS3sKdXYviz%2bcp07KUxO6YcRSopI6%2fNJjVUGQ33hX6CPnl%2bdYstBz1LSC7Y%2fy7WvCz5tqRYtPfpZhar8wqqaJ09sx0SC2DSSdGaA%3d%3d
484,FREEWAY37,EASY HOME SOLUTIONS PRIVATE LIMITED,25/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=HjQQkOBjH2f6YoHErus6LcHv6pp%2ffuOmc18ZKm79UccayuUoDK0VNgLbET15Y%2bsAvjUdR69zKU6YLpNDxwbeIxiHFJdcAbl6dveZaRiKA1nemm02U4k5CgMujx0Cf2XEsayNNj13v%2fi%2fmDBmo%2fwH34xgOSEeR7zeybkIFggBzHnhcLdTqdp2KQ%3d%3d
485,BHIVAWANI CHAWL,MS RADHAKRISHNA DEVELOPER,29/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Jr2I6re5qkB%2b2WxuwDJGGSa%2boyu%2b%2bxFLRba6ZGs0dLShvReg4k544AJUEpV%2fDPESL1HA2U8b5vnzoe7kUSD8iFN%2fE3l%2fJmIIY4GwlWuMtzKP5%2bEjzC90o5j53n6W0zqGV%2b%2fOwi98EIabRCLLEaJPXWA1N5U7U0uAKx7s5hfi6TX8mAul12skZA%3d%3d
486,A R B HEIGHTS,ARB DEVELOPERS,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=XagVgTEJozFvYiJiPM3CH6Jv67kLgQhn1BVkIsztxt9DDJ6hfWZA7%2fprgOt8eW9zwip7%2f1p3oHKuZoGufZHissneFdNB9TL1BCg7H60k7pUwNblgRnxo8TCrpqKZK%2fZvJxTb0g7GzV%2biaiRfc%2bqcPCfj527anfHkddkL2E6IG%2bXGuWR3zzxRhg%3d%3d
487,Annapurna Sadan,D R Developers,24/08/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=ue8CwBKnfriUjFbotwG56jB1fxbOZ%2bDeYzerAdlIoezP9Z%2fny4w%2bHTtCbk%2fKsZA4uUQx8inAAu%2bxEi797at%2bMmwZzjkVjN2JO2ySYb%2bNvEMt1GbQDmgIpAU%2bE0G%2bk%2bkrrpJB9qzKXRy0gHD1SmjMZcuDaaQYAV19M%2bueTsVpnu1XJKvBC8gkpA%3d%3d
488,"Redevelopment of CS 28,29,34,35",GOLDEN REALTY,19/07/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=LmE3vKnqbHtEKusa9NeOikQvau7Qej5pwQbVhiV8MeXSTuxh2rZcFhwZzfNiYg2pnMP2J6mlLzIw5ZiQzOXCRcQEGkZ5sKcThHgSTbvcoB7RsYiewFVLhMlmoKIghofj6iY%2fJz%2ffEMUXGmBongk3FSlQXgGnUJjNYLtSOtbFXrp%2bT4qnI%2bSizQ%3d%3d
489,PRINCE TOWER,Punit Construction Co,14/06/2020,https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=u%2btLgv8QgHlVpCcYYms%2fkUhiag3BH4aK5mEV9SlyQAnSKkOeyfXbRPwrCwghEnmmjgHbq3qW8ABEsRAmw9%2fqy3Bee%2fmW5gOpLuRtquwo%2ftu3u8Ux%2f%2fYHTfsm6%2f6pF4aqwcIKKw6%2b1QrGzkonxvZA%2bEokByTilZv9oltv9dSmcv5UsYtwmZbxlA%3d%3d
